Product_ID,Category,Sub_Category,Brand,Product_Name,Price,Discount,Final_Price,Stock,Sold_Quantity,Rating,Reviews,Supplier,Purchase_Cost,Profit,Expiry_Date,Manufacturing_Date,Warehouse_Location,Shelf_Number,Customer_Age,Customer_Gender,Customer_Type,Payment_Method,Transaction_ID,Order_Status,Delivery_Time,Return_Status,Employee_ID,Shift,Feedback
P1000,Toys,Chairs,Nike,Item_D,2684,23,2066.68,192,21,1.5,427,Supplier_C,2535,-468.32,1/1/2025,1/1/2024,Location_C,33,41,Male,Regular,Mobile Payment,T50000,Pending,2,Not Returned,801,Morning,Average
P1001,Clothing,Vegetables,Samsung,Item_A,2704,15,2298.4,21,62,2.6,383,Supplier_B,1180,1118.4,1/2/2025,1/2/2024,Location_B,22,32,Female,Regular,Credit Card,T50001,Completed,12,Not Returned,173,Evening,Good
P1002,Toys,Vegetables,Apple,Item_C,3173,6,2982.62,66,11,3.9,50,Supplier_A,2588,394.62,1/3/2025,1/3/2024,Location_C,46,57,Male,New,Credit Card,T50002,Pending,7,Returned,974,Evening,Average
P1003,Furniture,Laptop,Sony,Item_D,4320,26,3196.8,180,9,4.5,106,Supplier_A,567,2629.8,1/4/2025,1/4/2024,Location_C,42,18,Male,VIP,Credit Card,T50003,Cancelled,13,Not Returned,206,Morning,Good
P1004,Furniture,Shirt,Samsung,Item_B,2557,34,1687.62,81,73,2,72,Supplier_C,3272,-1584.38,1/5/2025,1/5/2024,Location_C,23,57,Female,Regular,Mobile Payment,T50004,Pending,11,Returned,994,Evening,Good
P1005,Electronics,Vegetables,Nike,Item_B,1568,24,1191.68,70,83,4.2,400,Supplier_C,1740,-548.32,1/6/2025,1/6/2024,Location_B,31,34,Male,Regular,Cash,T50005,Pending,8,Not Returned,349,Night,Good
P1006,Groceries,Chairs,Sony,Item_D,90,11,80.1,27,50,4.2,115,Supplier_A,74,6.1,1/7/2025,1/7/2024,Location_C,5,45,Male,Regular,Mobile Payment,T50006,Pending,2,Not Returned,109,Evening,Bad
P1007,Groceries,Mobile,Samsung,Item_C,1303,10,1172.7,94,48,3.5,373,Supplier_B,73,1099.7,1/8/2025,1/8/2024,Location_C,38,18,Male,Regular,Mobile Payment,T50007,Cancelled,11,Not Returned,491,Night,Good
P1008,Clothing,Vegetables,Samsung,Item_C,2062,40,1237.2,83,55,3.1,132,Supplier_B,1981,-743.8,1/9/2025,1/9/2024,Location_B,36,35,Male,VIP,Credit Card,T50008,Completed,2,Returned,482,Evening,Average
P1009,Electronics,Laptop,Apple,Item_A,3436,12,3023.68,104,89,3.5,202,Supplier_B,3619,-595.32,1/10/2025,1/10/2024,Location_A,44,37,Male,VIP,Credit Card,T50009,Pending,3,Returned,386,Evening,Average
P1010,Furniture,Shirt,Samsung,Item_D,3265,39,1991.65,132,9,2.2,370,Supplier_B,2950,-958.35,1/11/2025,1/11/2024,Location_B,15,25,Male,VIP,Cash,T50010,Cancelled,3,Returned,456,Evening,Average
P1011,Groceries,Laptop,Apple,Item_D,3037,28,2186.64,26,5,2.8,34,Supplier_C,485,1701.64,1/12/2025,1/12/2024,Location_B,47,65,Female,Regular,Cash,T50011,Cancelled,6,Not Returned,745,Night,Bad
P1012,Toys,Laptop,LG,Item_A,850,4,816,7,92,4.1,450,Supplier_C,2344,-1528,1/13/2025,1/13/2024,Location_C,17,47,Male,VIP,Cash,T50012,Completed,14,Not Returned,532,Night,Average
